cell,celliso,iso,lon,lat,lpj
GLO.4675,BWA.4675,BWA,24.75,-23.25,33134
GLO.4676,BWA.4676,BWA,24.75,-22.75,33135
GLO.4677,BWA.4677,BWA,24.75,-22.25,33136
GLO.4678,BWA.4678,BWA,24.75,-21.75,33137
GLO.4679,BWA.4679,BWA,24.75,-21.25,33138
GLO.4680,BWA.4680,BWA,24.75,-20.75,33139
GLO.4681,BWA.4681,BWA,24.75,-20.25,33140
GLO.4682,BWA.4682,BWA,24.75,-19.75,33141
GLO.4683,BWA.4683,BWA,24.75,-19.25,33142
GLO.4684,BWA.4684,BWA,24.75,-18.75,33143
GLO.4685,BWA.4685,BWA,24.75,-18.25,33144
GLO.4686,NAM.4686,NAM,24.75,-17.75,33145
GLO.4687,ZMB.4687,ZMB,24.75,-17.25,33146
GLO.4688,ZMB.4688,ZMB,24.75,-16.75,33147
GLO.4689,ZMB.4689,ZMB,24.75,-16.25,33148
GLO.4690,ZMB.4690,ZMB,24.75,-15.75,33149
GLO.4691,ZMB.4691,ZMB,24.75,-15.25,33150
GLO.4692,ZMB.4692,ZMB,24.75,-14.75,33151
GLO.4693,ZMB.4693,ZMB,24.75,-14.25,33152
GLO.4694,ZMB.4694,ZMB,24.75,-13.75,33153
GLO.4695,ZMB.4695,ZMB,24.75,-13.25,33154
GLO.4696,ZMB.4696,ZMB,24.75,-12.75,33155
GLO.4697,ZMB.4697,ZMB,24.75,-12.25,33156
GLO.4698,ZMB.4698,ZMB,24.75,-11.75,33157
GLO.4699,COD.4699,COD,24.75,-11.25,33158
GLO.4700,COD.4700,COD,24.75,-10.75,33159
GLO.4701,COD.4701,COD,24.75,-10.25,33160
GLO.4702,COD.4702,COD,24.75,-9.75,33161
GLO.4703,COD.4703,COD,24.75,-9.25,33162
GLO.4704,COD.4704,COD,24.75,-8.75,33163
GLO.4705,COD.4705,COD,24.75,-8.25,33164
GLO.4706,COD.4706,COD,24.75,-7.75,33165
GLO.4707,COD.4707,COD,24.75,-7.25,33166
GLO.4708,COD.4708,COD,24.75,-6.75,33167
GLO.4709,COD.4709,COD,24.75,-6.25,33168
GLO.4710,COD.4710,COD,24.75,-5.75,33169
GLO.4711,COD.4711,COD,24.75,-5.25,33170
GLO.4712,COD.4712,COD,24.75,-4.75,33171
GLO.4713,COD.4713,COD,24.75,-4.25,33172
GLO.4714,COD.4714,COD,24.75,-3.75,33173
GLO.4715,COD.4715,COD,24.75,-3.25,33174
GLO.4716,COD.4716,COD,24.75,-2.75,33175
GLO.4717,COD.4717,COD,24.75,-2.25,33176
GLO.4718,COD.4718,COD,24.75,-1.75,33177
GLO.4719,COD.4719,COD,24.75,-1.25,33178
GLO.4720,COD.4720,COD,24.75,-0.75,33179
GLO.4721,COD.4721,COD,24.75,-0.25,33180
GLO.4722,COD.4722,COD,24.75,0.25,33181
GLO.4723,COD.4723,COD,24.75,0.75,33182
GLO.4724,COD.4724,COD,24.75,1.25,33183
GLO.4725,COD.4725,COD,24.75,1.75,33184
GLO.4726,COD.4726,COD,24.75,2.25,33185
GLO.4727,COD.4727,COD,24.75,2.75,33186
GLO.4728,COD.4728,COD,24.75,3.25,33187
GLO.4729,COD.4729,COD,24.75,3.75,33188
GLO.4730,COD.4730,COD,24.75,4.25,33189
GLO.4731,COD.4731,COD,24.75,4.75,33190
GLO.4732,CAF.4732,CAF,24.75,5.25,33191
GLO.4733,CAF.4733,CAF,24.75,5.75,33192
GLO.4734,CAF.4734,CAF,24.75,6.25,33193
GLO.4735,CAF.4735,CAF,24.75,6.75,33194
GLO.4736,CAF.4736,CAF,24.75,7.25,33195
GLO.4737,CAF.4737,CAF,24.75,7.75,33196
GLO.4738,SSD.4738,SSD,24.75,8.25,33197
